seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max,med_low,med_high,big_low,big_high,med_dc_hl_pip,big_dc_hl_pip
1155,83.388,83.594,83.388,83.473,300,2021-10-31 22:02:22,0:18:31,2059.9999999998886,849.9999999999375,0.0,0.0,83.378,84.057,82.68,84.157,6790.00000000002,14769.999999999896
1156,83.453,83.548,83.322,83.378,300,2021-10-31 22:20:53,0:25:47,2259.999999999991,750.0000000000284,0.0,0.0,83.322,84.057,82.961,84.157,7349.9999999999945,11959.99999999998
1157,83.388,83.478,83.126,83.126,300,2021-10-31 22:46:45,0:20:42,3519.9999999998963,2620.0000000000045,0.0,0.0,83.126,84.057,82.961,84.157,9309.999999999975,11959.99999999998
1158,83.131,83.352,83.101,83.342,300,2021-10-31 23:07:29,0:22:10,2510.0000000000477,2109.9999999999854,0.0,0.0,83.101,84.057,82.961,84.157,9560.000000000031,11959.99999999998
1159,83.337,83.383,83.197,83.272,300,2021-10-31 23:29:42,0:22:52,1859.9999999999284,649.9999999999773,0.0,0.0,83.101,83.916,83.101,84.157,8149.999999999977,10559.999999999975
1160,83.282,83.473,83.277,83.468,300,2021-10-31 23:52:45,0:15:47,1959.9999999999795,1860.0000000000705,0.0,0.0,83.101,83.916,83.101,84.157,8149.999999999977,10559.999999999975
1161,83.463,83.553,83.433,83.528,300,2021-11-01 00:08:32,0:22:37,1199.9999999999034,650.0000000001194,0.0,0.0,83.101,83.916,83.101,84.157,8149.999999999977,10559.999999999975
1162,83.523,83.583,83.458,83.473,300,2021-11-01 00:31:09,0:24:12,1250.0,499.9999999999716,0.0,0.0,83.101,83.916,83.101,84.157,8149.999999999977,10559.999999999975
1163,83.468,83.543,83.347,83.523,300,2021-11-01 00:55:27,0:07:49,1960.0000000001216,549.9999999999261,0.0,0.0,83.101,83.798,83.101,84.157,6970.000000000027,10559.999999999975
1164,83.528,83.533,83.312,83.312,300,2021-11-01 01:03:16,0:06:24,2210.0000000000364,2160.000000000082,0.0,0.0,83.101,83.798,83.101,84.157,6970.000000000027,10559.999999999975
1165,83.302,83.413,83.252,83.272,300,2021-11-01 01:09:40,0:09:22,1610.0000000000136,300.00000000001137,0.0,0.0,83.101,83.773,83.101,84.157,6719.999999999971,10559.999999999975
1166,83.262,83.423,83.227,83.423,300,2021-11-01 01:19:03,0:10:50,1959.9999999999795,1610.0000000000136,0.0,0.0,83.101,83.594,83.101,84.157,4929.99999999995,10559.999999999975
1167,83.418,83.543,83.413,83.498,300,2021-11-01 01:29:53,0:11:07,1300.0000000000966,799.999999999983,0.0,0.0,83.101,83.583,83.101,84.157,4819.999999999993,10559.999999999975
