seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max,med_low,med_high,big_low,big_high,med_dc_hl_pip,big_dc_hl_pip
1,0.92399,0.92411,0.92346,0.92367,150,2021-10-17 21:01:25,0:07:45,6.500000000000394,3.1999999999998696,0.0,0.0,0.92346,0.92411,0.92346,0.92411,6.500000000000394,6.500000000000394
2,0.92362,0.92371,0.9236,0.92363,150,2021-10-17 21:09:11,0:01:12,1.100000000000545,0.0999999999995449,0.0,0.0,0.92346,0.92411,0.92346,0.92411,6.500000000000394,6.500000000000394
3,0.9236,0.92371,0.92327,0.92344,150,2021-10-17 21:10:24,0:08:06,4.3999999999999595,1.5999999999993797,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
4,0.92341,0.92348,0.9234,0.92344,150,2021-10-17 21:18:30,0:00:38,0.7999999999996898,0.30000000000085514,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
5,0.92341,0.92347,0.9234,0.92344,150,2021-10-17 21:19:08,0:00:38,0.700000000000145,0.30000000000085514,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
6,0.9234,0.92346,0.9234,0.9234,150,2021-10-17 21:19:46,0:00:36,0.5999999999994898,0.0,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
7,0.92344,0.92359,0.9234,0.92343,150,2021-10-17 21:20:23,0:01:06,1.9000000000002348,0.10000000000065512,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
8,0.9234,0.92359,0.9234,0.9234,150,2021-10-17 21:21:29,0:00:39,1.9000000000002348,0.0,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
9,0.92346,0.92359,0.9234,0.92346,150,2021-10-17 21:22:08,0:00:44,1.9000000000002348,0.0,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
10,0.92344,0.92346,0.9234,0.92346,150,2021-10-17 21:22:53,0:00:39,0.5999999999994898,0.1999999999990898,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
11,0.92344,0.92358,0.9234,0.92344,150,2021-10-17 21:23:32,0:00:38,1.7999999999995797,0.0,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
12,0.9234,0.92346,0.9234,0.9234,150,2021-10-17 21:24:10,0:00:37,0.5999999999994898,0.0,0.0,0.0,0.92327,0.92411,0.92327,0.92411,8.399999999999519,8.399999999999519
13,0.92344,0.92354,0.9233,0.92336,150,2021-10-17 21:24:47,0:03:45,2.4000000000001798,0.8000000000008001,0.0,0.0,0.92327,0.92371,0.92327,0.92411,4.3999999999999595,8.399999999999519
14,0.92337,0.92346,0.92285,0.92285,150,2021-10-17 21:28:32,0:03:16,6.099999999999994,5.20000000000076,0.0,0.0,0.92285,0.92371,0.92285,0.92411,8.60000000000083,12.600000000000389
15,0.92285,0.92342,0.92285,0.92336,150,2021-10-17 21:31:49,0:01:04,5.7000000000007045,5.1000000000001044,0.0,0.0,0.92285,0.92359,0.92285,0.92411,7.400000000000739,12.600000000000389
