pos_id,virtual_id,fid,won,pair,dir,signal_key,ssngt,base,quote,time_o,updates,open_price,exit_high_price,exit_low_price,close_price,pl_ratio_s,time_c,profit,duration,touch_high_pip,touch_low_pop,sprd,locked,seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max
1,1,29,-1,XAUUSD,Long,sky_1,0.0,10.0,17700.0,2021-10-18 01:06:50,0,1770.0,1775.8,1767.09,1767.09,1.99,2021-10-18 04:36:41,-29.1,3:29:51,18.19999,-29.1,0.0,0.0,29,1771.69,1771.69,1769.73,1770.0,300,2021-10-18 01:04:42,0:02:08,19600.000000000364,16900.000000000546,0.0,0.0
2,1,224,1,XAUUSD,Long,sky_1,-1.0,10.0,17625.0,2021-10-18 12:36:41,0,1762.5,1768.19,1759.65,1768.27,1.99,2021-10-18 13:28:59,57.69,0:52:18,57.69999,-9.4,0.0,0.0,224,1765.23,1765.6,1762.96,1763.15,300,2021-10-18 12:34:16,0:01:56,26399.999999998727,20799.999999999272,0.0,0.0
3,1,263,1,XAUUSD,Long,sky_1,-0.333,10.0,17641.1,2021-10-18 13:42:57,0,1764.11,1770.79,1760.76,1770.79,1.99,2021-10-18 14:32:33,66.8,0:49:36,66.8,-13.79999,0.0,0.0,263,1766.52,1767.09,1765.27,1766.23,300,2021-10-18 13:40:09,0:01:37,18199.999999999363,2899.999999999636,0.0,0.0
4,1,300,-1,XAUUSD,Long,sky_1,0.111,10.0,17689.8,2021-10-18 14:46:44,0,1768.98,1775.32,1765.8,1765.67,1.99,2021-10-18 16:16:57,-33.09,1:30:13,20.59999,-33.09999,0.0,0.0,300,1770.87,1770.96,1769.18,1769.25,300,2021-10-18 14:43:31,0:01:50,17799.999999999727,16199.999999998909,0.0,0.0
5,1,327,-1,XAUUSD,Long,sky_1,-0.259,10.0,17659.9,2021-10-18 16:17:12,0,1765.99,1770.42,1763.77,1763.7,1.99,2021-10-18 22:48:28,-22.89,6:31:16,18.69999,-22.89999,0.0,0.0,327,1767.01,1767.06,1766.29,1766.3,300,2021-10-18 16:09:09,0:04:27,7699.999999999818,7100.000000000364,0.0,0.0
6,1,427,1,XAUUSD,Long,sky_1,-0.506,10.0,17742.9,2021-10-19 05:09:25,0,1774.29,1779.78,1771.54,1779.8,1.99,2021-10-19 07:04:06,55.09,1:54:41,55.09999,-5.79999,0.0,0.0,427,1774.34,1775.22,1774.33,1774.84,300,2021-10-19 04:59:47,0:06:45,8900.000000001,5000.0,0.0,0.0
7,1,467,1,XAUUSD,Long,sky_1,-0.004,10.0,17775.3,2021-10-19 07:19:54,0,1777.53,1781.8,1775.39,1781.83,1.99,2021-10-19 07:41:05,42.99,0:21:11,42.99999,-1.09999,0.0,0.0,467,1777.81,1778.13,1777.63,1777.8,300,2021-10-19 07:17:24,0:02:13,5000.0,99.99999999990905,0.0,0.0
8,1,497,-1,XAUUSD,Long,sky_1,0.33,10.0,17815.3,2021-10-19 08:50:56,0,1781.53,1785.95,1779.31,1779.29,1.99,2021-10-19 09:30:46,-22.4,0:39:50,9.0,-22.4,0.0,0.0,497,1782.34,1782.43,1781.74,1782.08,300,2021-10-19 08:45:22,0:03:42,6900.000000000546,2599.999999999909,0.0,0.0
9,1,509,-1,XAUUSD,Long,sky_1,-0.112,10.0,17795.2,2021-10-19 09:30:52,0,1779.52,1782.56,1777.99,1777.94,1.98,2021-10-19 10:02:49,-15.79,0:31:57,9.5,-15.79999,0.0,0.0,509,1780.73,1780.86,1779.79,1779.9,300,2021-10-19 09:27:17,0:02:54,10699.999999999363,8299.999999999272,0.0,0.0
10,1,518,-1,XAUUSD,Long,sky_1,-0.408,10.0,17780.4,2021-10-19 10:02:53,0,1778.04,1782.04,1776.03,1776.03,1.99,2021-10-19 11:11:46,-20.09,1:08:53,21.3,-20.09999,0.0,0.0,518,1779.39,1779.62,1779.02,1779.53,300,2021-10-19 09:58:24,0:02:13,5999.9999999990905,1399.9999999987267,0.0,0.0
11,1,600,-1,XAUUSD,Long,sky_1,-0.605,10.0,17797.6,2021-10-19 13:25:05,0,1779.76,1785.74,1776.76,1776.75,1.99,2021-10-19 13:40:45,-30.09,0:15:40,12.89999,-30.09999,0.0,0.0,600,1780.1,1780.27,1779.09,1779.37,300,2021-10-19 13:23:12,0:01:36,11800.000000000637,7300.000000000182,0.0,0.0
12,1,780,1,XAUUSD,Long,sky_1,-0.737,10.0,17712.9,2021-10-20 02:15:06,0,1771.29,1776.71,1768.57,1776.71,1.99,2021-10-20 05:50:32,54.2,3:35:26,54.2,-17.99999,0.0,0.0,780,1771.22,1771.51,1771.05,1771.28,300,2021-10-20 02:09:17,0:05:14,4600.000000000364,599.9999999994543,0.0,0.0
13,1,831,1,XAUUSD,Long,sky_1,-0.158,10.0,17759.0,2021-10-20 06:50:24,0,1775.9,1779.68,1774.0,1779.69,1.98,2021-10-20 10:28:57,37.89,3:38:33,37.89999,-13.4,0.0,0.0,831,1776.23,1776.9,1775.96,1776.81,300,2021-10-20 06:45:09,0:02:32,9400.000000000546,5799.999999999272,0.0,0.0
14,1,890,1,XAUUSD,Long,sky_1,0.227,10.0,17783.6,2021-10-20 10:40:21,0,1778.36,1781.54,1776.76,1781.64,1.98,2021-10-20 11:08:47,32.8,0:28:26,32.8,-2.79999,0.0,0.0,890,1779.18,1779.21,1778.22,1778.52,300,2021-10-20 10:34:44,0:04:38,9900.000000000091,6600.0000000008185,0.0,0.0
15,1,906,1,XAUUSD,Long,sky_1,0.485,10.0,17787.3,2021-10-20 11:44:28,0,1778.73,1781.97,1777.1,1781.97,1.98,2021-10-20 12:03:21,32.4,0:18:53,32.4,-2.59999,0.0,0.0,906,1780.26,1780.26,1778.7,1779.02,300,2021-10-20 11:39:57,0:02:57,15599.999999999454,12400.000000000091,0.0,0.0
16,1,947,-1,XAUUSD,Long,sky_1,0.656,10.0,17841.8,2021-10-20 13:05:45,0,1784.18,1790.16,1781.18,1781.17,1.99,2021-10-20 13:28:00,-30.09,0:22:15,15.49999,-30.09999,0.0,0.0,947,1786.47,1786.47,1784.1,1784.51,300,2021-10-20 13:03:47,0:01:49,23700.000000001182,19600.000000000364,0.0,0.0
17,1,957,-1,XAUUSD,Long,sky_1,0.104,10.0,17814.4,2021-10-20 13:28:12,0,1781.44,1787.24,1778.53,1778.47,1.99,2021-10-20 13:29:53,-29.7,0:01:41,0.69999,-29.7,0.0,0.0,957,1783.82,1783.91,1782.68,1782.7,300,2021-10-20 13:24:41,0:02:02,12300.000000000182,11199.999999998909,0.0,0.0
18,1,1049,-1,XAUUSD,Long,sky_1,-0.263,10.0,17835.899999999998,2021-10-20 17:07:43,0,1783.59,1787.99,1781.38,1781.27,1.99,2021-10-20 20:36:00,-23.19,3:28:17,33.1,-23.19999,0.0,0.0,1049,1784.51,1784.63,1783.49,1783.89,300,2021-10-20 17:05:30,0:01:57,11400.000000001,6199.999999998909,0.0,0.0
19,1,1146,-1,XAUUSD,Long,sky_1,-0.509,10.0,17862.9,2021-10-21 03:10:24,0,1786.29,1792.14,1783.36,1783.35,1.99,2021-10-21 05:34:05,-29.4,2:23:41,3.7,-29.4,0.0,0.0,1146,1787.2,1787.31,1786.09,1786.3,300,2021-10-21 03:06:20,0:03:40,12200.000000000273,9000.00000000091,0.0,0.0
