pos_id,virtual_id,fid,won,pair,dir,signal_key,ssngt,base,quote,time_o,updates,open_price,exit_high_price,exit_low_price,close_price,pl_ratio_s,time_c,profit,duration,touch_high_pip,touch_low_pop,sprd,locked,seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max
44,1,3696,1,XAUUSD,Long,sky_1,-0.853,10.0,17799.100000000002,2021-10-31 23:31:52,0,1779.91,1783.06,1778.33,1783.08,1.99,2021-11-01 01:10:02,31.69,1:38:10,31.69999,-8.2,0.0,0.0,3696,1780.86,1781.16,1780.5,1780.93,300,2021-10-31 23:07:02,0:13:44,6600.0000000008185,700.0000000016371,0.0,0.0
45,1,3738,-1,XAUUSD,Long,sky_1,-0.235,10.0,17839.7,2021-11-01 03:54:57,0,1783.97,1789.55,1781.17,1781.07,1.99,2021-11-01 08:25:52,-29.0,4:30:55,37.69999,-29.0,0.0,0.0,3738,1784.27,1784.51,1783.92,1783.93,300,2021-11-01 03:39:51,0:13:49,5899.9999999991815,3399.9999999991815,0.0,0.0
46,1,3822,-1,XAUUSD,Long,sky_1,-0.49,10.0,17862.8,2021-11-01 10:59:35,0,1786.28,1790.71,1784.06,1783.95,1.99,2021-11-01 11:14:15,-23.29,0:14:40,9.3,-23.29999,0.0,0.0,3822,1786.77,1787.07,1786.55,1786.55,300,2021-11-01 10:50:02,0:07:45,5199.999999999818,2200.000000000273,0.0,0.0
47,1,3826,1,XAUUSD,Long,sky_1,-0.66,10.0,17841.1,2021-11-01 11:14:37,0,1784.11,1788.07,1782.12,1788.11,1.98,2021-11-01 12:22:05,40.0,1:07:28,40.0,-15.09999,0.0,0.0,3826,1785.53,1785.53,1783.86,1784.03,300,2021-11-01 11:11:23,0:03:00,16700.000000000728,15000.0,0.0,0.0
48,1,3867,-1,XAUUSD,Long,sky_1,-0.106,10.0,17884.5,2021-11-01 13:00:15,0,1788.45,1792.84,1786.25,1786.21,1.99,2021-11-01 13:34:07,-22.4,0:33:52,30.79999,-22.4,0.0,0.0,3867,1788.45,1789.59,1788.34,1789.59,300,2021-11-01 12:56:03,0:02:19,12500.0,11399.999999998727,0.0,0.0
49,1,3884,1,XAUUSD,Long,sky_1,-0.404,10.0,17860.6,2021-11-01 13:34:13,0,1786.06,1790.45,1783.86,1790.45,1.99,2021-11-01 13:51:15,43.9,0:17:02,43.9,-3.79999,0.0,0.0,3884,1788.32,1788.65,1787.34,1787.73,300,2021-11-01 13:31:38,0:01:38,13100.000000001728,5899.9999999991815,0.0,0.0
50,1,3925,-1,XAUUSD,Long,sky_1,0.063,10.0,17921.600000000002,2021-11-01 14:50:04,0,1792.16,1798.6,1788.93,1788.91,1.99,2021-11-02 11:46:25,-32.5,20:56:21,42.59999,-32.5,0.0,0.0,3925,1792.9,1793.1,1792.12,1792.19,300,2021-11-01 14:47:34,0:02:13,9800.000000000182,7100.000000000364,0.0,0.0
51,1,4403,-1,XAUUSD,Long,sky_1,-0.29,10.0,17832.3,2021-11-03 12:33:08,0,1783.23,1787.38,1781.15,1781.13,1.99,2021-11-03 12:35:10,-20.99,0:02:02,1.39999,-20.99999,0.0,0.0,4403,1784.93,1785.05,1782.9,1783.23,300,2021-11-03 12:31:05,0:02:03,21499.999999998636,17000.000000000455,0.0,0.0
52,1,4553,1,XAUUSD,Long,sky_1,-0.527,10.0,17640.6,2021-11-03 18:32:15,0,1764.06,1771.14,1760.51,1771.18,1.99,2021-11-03 18:48:12,71.2,0:15:57,71.2,-14.8,0.0,0.0,4553,1765.86,1765.86,1764.01,1764.06,300,2021-11-03 18:30:19,0:01:56,18499.99999999909,17999.999999999545,0.0,0.0
53,1,4582,1,XAUUSD,Long,sky_1,-0.018,10.0,17694.9,2021-11-03 19:16:00,0,1769.49,1779.21,1764.62,1779.42,1.99,2021-11-04 10:49:01,99.3,15:33:01,99.3,-9.4,0.0,0.0,4582,1771.38,1771.49,1770.82,1770.85,300,2021-11-03 19:13:18,0:01:45,6700.000000000728,5300.000000002001,0.0,0.0
54,1,4801,1,XAUUSD,Long,sky_1,0.321,10.0,17918.9,2021-11-04 13:29:23,0,1791.89,1799.87,1787.89,1800.09,1.99,2021-11-05 08:25:10,81.99,18:55:47,81.99999,-18.0,0.0,0.0,4801,1792.99,1793.11,1792.14,1792.15,300,2021-11-04 13:27:20,0:01:56,9699.999999998,8399.999999999181,0.0,0.0
55,1,5044,-1,XAUUSD,Long,sky_1,0.547,10.0,17953.9,2021-11-05 09:16:57,0,1795.39,1799.56,1793.3,1793.17,1.99,2021-11-05 10:29:00,-22.2,1:12:03,10.09999,-22.2,0.0,0.0,5044,1796.15,1796.86,1796.12,1796.17,300,2021-11-05 09:07:46,0:05:11,7400.000000000091,199.9999999998181,0.0,0.0
56,1,5149,1,XAUUSD,Long,sky_1,0.031,10.0,17969.3,2021-11-05 13:50:54,0,1796.93,1807.29,1791.74,1807.33,1.99,2021-11-05 15:26:12,103.99,1:35:18,103.99999,-10.8,0.0,0.0,5149,1799.25,1799.38,1797.36,1797.36,300,2021-11-05 13:48:49,0:01:43,20200.000000002092,18900.000000001,0.0,0.0
57,1,5223,1,XAUUSD,Long,sky_1,0.354,10.0,18082.9,2021-11-05 16:08:50,0,1808.29,1816.79,1804.03,1816.81,1.99,2021-11-05 19:25:07,85.19,3:16:17,85.19999,-5.0,0.0,0.0,5223,1810.34,1810.47,1808.29,1808.29,300,2021-11-05 16:06:57,0:01:53,21800.000000000637,20499.999999999545,0.0,0.0
