pos_id,virtual_id,fid,won,pair,dir,signal_key,ssngt,base,quote,time_o,updates,open_price,exit_high_price,exit_low_price,close_price,pl_ratio_s,time_c,profit,duration,touch_high_pip,touch_low_pop,sprd,locked,seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max
1,1,64,1,USDCHF,Long,sky_1,0.0,10.0,9.2379,2021-10-18 02:19:54,0,0.92379,0.92501,0.92317,0.92502,1.96,2021-10-18 04:54:46,0.01,2:34:52,12.29999,-0.79999,0.0,0.0,64,0.92397,0.92403,0.92388,0.92395,150,2021-10-18 02:11:51,0:05:26,1.4999999999998348,0.1999999999990898,0.0,0.0
2,1,122,-1,USDCHF,Long,sky_1,1.0,10.0,9.253,2021-10-18 07:14:08,0,0.9253,0.92647,0.92471,0.9247,1.98,2021-10-18 08:05:40,0.0,0:51:32,7.39999,-6.0,0.0,0.0,122,0.92546,0.92558,0.9253,0.92542,150,2021-10-18 07:11:11,0:02:34,2.7999999999994696,0.3999999999992898,0.0,0.0
3,1,139,1,USDCHF,Long,sky_1,0.333,10.0,9.2469,2021-10-18 08:05:48,0,0.92469,0.92592,0.92407,0.92595,1.98,2021-10-18 08:29:44,0.01,0:23:56,12.6,0.0,0.0,0.0,139,0.92545,0.92551,0.92513,0.92519,150,2021-10-18 07:59:50,0:03:03,3.8000000000004697,2.60000000000038,0.0,0.0
4,1,166,1,USDCHF,Long,sky_1,0.555,10.0,9.2583,2021-10-18 09:20:23,0,0.92583,0.92724,0.92512,0.92724,1.98,2021-10-18 10:14:19,0.01,0:53:56,14.09999,-2.1,0.0,0.0,166,0.92595,0.92619,0.92586,0.92594,150,2021-10-18 09:15:04,0:03:01,3.2999999999994145,0.10000000000065512,0.0,0.0
5,1,191,-1,USDCHF,Long,sky_1,0.703,10.0,9.2585,2021-10-18 10:40:41,0,0.92585,0.92719,0.92517,0.92517,1.97,2021-10-18 11:12:20,0.0,0:31:39,1.7,-6.79999,0.0,0.0,191,0.92595,0.92604,0.92592,0.92595,150,2021-10-18 10:37:15,0:03:17,1.2000000000000899,0.0,0.0,0.0
6,1,610,-1,USDCHF,Long,sky_1,0.135,10.0,9.1969,2021-10-19 13:45:57,0,0.91969,0.92057,0.91924,0.91924,1.95,2021-10-19 13:51:51,0.0,0:05:54,0.59999,-4.5,0.0,0.0,610,0.92003,0.92005,0.91985,0.91989,150,2021-10-19 13:43:26,0:01:44,2.00000000000089,1.40000000000029,0.0,0.0
7,1,619,1,USDCHF,Long,sky_1,-0.242,10.0,9.1928,2021-10-19 14:03:06,0,0.91928,0.92048,0.91867,0.92048,1.96,2021-10-19 14:31:49,0.01,0:28:43,11.99999,-0.09999,0.0,0.0,619,0.91927,0.91939,0.91917,0.91935,150,2021-10-19 14:00:06,0:02:02,2.1999999999999797,0.7999999999996898,0.0,0.0
8,1,677,-1,USDCHF,Long,sky_1,0.171,10.0,9.2267,2021-10-19 17:10:46,0,0.92267,0.92447,0.92176,0.92161,1.97,2021-10-19 21:48:16,-0.01,4:37:30,6.0,-10.59999,0.0,0.0,677,0.92284,0.92293,0.92274,0.92284,150,2021-10-19 17:03:16,0:05:55,1.9000000000002348,0.0,0.0,0.0
9,1,707,1,USDCHF,Long,sky_1,-0.219,10.0,9.2155,2021-10-19 21:48:31,0,0.92155,0.92293,0.92085,0.92293,1.97,2021-10-19 23:08:01,0.01,1:19:30,13.8,-0.09999,0.0,0.0,707,0.92302,0.92306,0.92286,0.92293,150,2021-10-19 20:50:14,0:33:12,1.9999999999997797,0.8999999999992347,0.0,0.0
10,1,734,-1,USDCHF,Long,sky_1,0.187,10.0,9.2336,2021-10-20 01:23:37,0,0.92336,0.92547,0.9223,0.9223,1.99,2021-10-20 12:41:38,-0.01,11:18:01,18.79999,-10.59999,0.0,0.0,734,0.92345,0.92353,0.9234,0.92345,150,2021-10-20 01:20:19,0:02:38,1.2999999999996348,0.0,0.0,0.0
11,1,1204,-1,USDCHF,Long,sky_1,-0.208,10.0,9.2003,2021-10-21 08:22:14,0,0.92003,0.92136,0.91936,0.91935,1.98,2021-10-21 08:39:35,0.0,0:17:21,2.6,-6.8,0.0,0.0,1204,0.92024,0.92024,0.92004,0.92007,150,2021-10-21 08:19:18,0:02:48,1.9999999999997797,1.6999999999989246,0.0,0.0
12,1,1210,-1,USDCHF,Long,sky_1,-0.472,10.0,9.1935,2021-10-21 08:39:48,0,0.91935,0.92039,0.91882,0.91881,1.96,2021-10-21 09:39:32,0.0,0:59:44,4.69999,-5.39999,0.0,0.0,1210,0.9197,0.91981,0.91943,0.91945,150,2021-10-21 08:36:32,0:02:41,3.8000000000004697,2.4999999999997247,0.0,0.0
