pos_id,virtual_id,fid,won,pair,dir,signal_key,ssngt,base,quote,time_o,updates,open_price,exit_high_price,exit_low_price,close_price,pl_ratio_s,time_c,profit,duration,touch_high_pip,touch_low_pop,sprd,locked,seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max
16,1,1892,1,USDCHF,Long,sky_1,-0.895,10.0,9.1667,2021-10-25 07:37:27,0,0.91667,0.91883,0.91558,0.91892,1.98,2021-10-25 09:25:13,0.02,1:47:46,22.49999,-7.39999,0.0,0.0,1892,0.91667,0.91682,0.91652,0.91666,150,2021-10-25 07:35:13,0:02:03,2.9999999999996696,0.0999999999995449,0.0,0.0
17,1,1955,-1,USDCHF,Long,sky_1,-0.263,10.0,9.1927,2021-10-25 10:39:25,0,0.91927,0.92138,0.91821,0.91817,1.99,2021-10-25 13:29:33,-0.01,2:50:08,9.69999,-10.99999,0.0,0.0,1955,0.9194,0.91944,0.91924,0.9193,150,2021-10-25 10:35:09,0:03:44,2.00000000000089,0.9999999999998899,0.0,0.0
18,1,2084,-1,USDCHF,Long,sky_1,-0.509,10.0,9.1897,2021-10-25 15:53:24,0,0.91897,0.92062,0.91814,0.91804,1.98,2021-10-25 21:15:06,0.0,5:21:42,9.8,-9.29999,0.0,0.0,2084,0.91904,0.91906,0.91892,0.91896,150,2021-10-25 15:46:26,0:06:37,1.40000000000029,0.7999999999996898,0.0,0.0
19,1,2131,1,USDCHF,Long,sky_1,-0.672,10.0,9.1798,2021-10-25 21:19:40,0,0.91798,0.91962,0.91715,0.91962,1.97,2021-10-25 21:35:48,0.01,0:16:08,16.39999,-0.4,0.0,0.0,2131,0.91987,0.91995,0.91972,0.91975,150,2021-10-25 20:51:36,0:16:07,2.300000000000635,1.2000000000000899,0.0,0.0
20,1,2163,-1,USDCHF,Long,sky_1,-0.115,10.0,9.2076,2021-10-26 03:25:22,0,0.92076,0.92318,0.91954,0.91953,1.98,2021-10-26 10:41:44,-0.01,7:16:22,18.69999,-12.3,0.0,0.0,2163,0.92087,0.92089,0.92078,0.92083,150,2021-10-26 03:05:42,0:15:29,1.0999999999994348,0.3999999999992898,0.0,0.0
21,1,2363,-1,USDCHF,Long,sky_1,-0.41,10.0,9.1985,2021-10-26 14:19:29,0,0.91985,0.92145,0.91904,0.91904,1.97,2021-10-27 04:51:06,0.0,14:31:37,10.1,-8.09999,0.0,0.0,2363,0.92011,0.92017,0.91995,0.92007,150,2021-10-26 14:15:50,0:02:05,2.1999999999999797,0.3999999999992898,0.0,0.0
22,1,2622,-1,USDCHF,Long,sky_1,-0.606,10.0,9.1905,2021-10-27 11:15:41,0,0.91905,0.92088,0.91813,0.91813,1.98,2021-10-27 12:25:23,0.0,1:09:42,3.4,-9.2,0.0,0.0,2622,0.91941,0.91945,0.91905,0.91905,150,2021-10-27 11:13:29,0:02:12,3.9999999999995595,3.5999999999991594,0.0,0.0
23,1,2776,-1,USDCHF,Long,sky_1,-0.737,10.0,9.1785,2021-10-27 16:06:02,0,0.91785,0.91901,0.91726,0.91726,1.96,2021-10-27 17:02:22,0.0,0:56:20,4.09999,-5.9,0.0,0.0,2776,0.9181,0.91811,0.91787,0.91791,150,2021-10-27 16:03:12,0:02:32,2.4000000000001798,1.9000000000002348,0.0,0.0
24,1,2866,-1,USDCHF,Long,sky_1,-0.825,10.0,9.183900000000001,2021-10-28 01:50:43,0,0.91839,0.92032,0.91742,0.91742,1.98,2021-10-28 02:42:10,0.0,0:51:27,0.0,-9.7,0.0,0.0,2866,0.91884,0.91884,0.91861,0.91865,150,2021-10-28 01:44:01,0:03:19,2.2999999999995246,1.9000000000002348,0.0,0.0
25,1,2920,-1,USDCHF,Long,sky_1,-0.883,10.0,9.1855,2021-10-28 06:30:27,0,0.91855,0.91929,0.91817,0.91817,1.94,2021-10-28 06:33:28,0.0,0:03:01,0.0,-3.79999,0.0,0.0,2920,0.9189,0.91891,0.91861,0.91862,150,2021-10-28 06:27:07,0:03:00,2.9999999999996696,2.80000000000058,0.0,0.0
26,1,2941,-1,USDCHF,Long,sky_1,-0.922,10.0,9.1833,2021-10-28 07:20:44,0,0.91833,0.919,0.91799,0.91798,1.97,2021-10-28 07:34:17,0.0,0:13:33,2.69999,-3.49999,0.0,0.0,2941,0.91865,0.91866,0.91845,0.91849,150,2021-10-28 07:15:48,0:01:54,2.100000000000435,1.5999999999993797,0.0,0.0
27,1,2996,-1,USDCHF,Long,sky_1,-0.948,10.0,9.184099999999999,2021-10-28 09:24:12,0,0.91841,0.92054,0.91734,0.91734,1.99,2021-10-28 10:23:47,-0.01,0:59:35,8.4,-10.69999,0.0,0.0,2996,0.91846,0.91868,0.91835,0.91868,150,2021-10-28 09:20:15,0:02:10,3.3000000000005247,2.1999999999999797,0.0,0.0
28,1,3072,-1,USDCHF,Long,sky_1,-0.965,10.0,9.188600000000001,2021-10-28 12:32:56,0,0.91886,0.9205,0.91803,0.91803,1.97,2021-10-28 12:41:00,0.0,0:08:04,0.0,-8.29999,0.0,0.0,3072,0.91892,0.91908,0.91878,0.91897,150,2021-10-28 12:30:32,0:01:37,2.9999999999996696,0.49999999999994493,0.0,0.0
29,1,3381,-1,USDCHF,Long,sky_1,-0.976,10.0,9.120899999999999,2021-10-29 06:00:21,0,0.91209,0.91289,0.91168,0.91168,1.95,2021-10-29 06:08:49,0.0,0:08:28,0.3,-4.09999,0.0,0.0,3381,0.91223,0.91228,0.91217,0.9122,150,2021-10-29 05:53:23,0:04:46,1.0999999999994348,0.2999999999997449,0.0,0.0
30,1,3392,-1,USDCHF,Long,sky_1,-0.984,10.0,9.1179,2021-10-29 06:38:34,0,0.91179,0.91234,0.91151,0.91146,1.96,2021-10-29 07:00:56,0.0,0:22:22,4.89999,-3.29999,0.0,0.0,3392,0.91197,0.91201,0.9119,0.9119,150,2021-10-29 06:30:40,0:06:27,1.0999999999994348,0.6999999999990347,0.0,0.0
31,1,3396,-1,USDCHF,Long,sky_1,-0.989,10.0,9.115400000000001,2021-10-29 07:01:00,0,0.91154,0.91229,0.91116,0.91115,1.97,2021-10-29 07:02:25,0.0,0:01:25,0.29999,-3.9,0.0,0.0,3396,0.91191,0.91228,0.9119,0.91222,150,2021-10-29 06:54:16,0:05:04,3.7999999999993594,3.1000000000003247,0.0,0.0
32,1,3554,1,USDCHF,Long,sky_1,-0.993,10.0,9.1203,2021-10-29 13:28:18,0,0.91203,0.9135,0.91129,0.91353,1.98,2021-10-29 14:52:35,0.01,1:24:17,14.99999,-7.2,0.0,0.0,3554,0.91255,0.91261,0.91235,0.91247,150,2021-10-29 13:25:42,0:01:53,2.60000000000038,0.7999999999996898,0.0,0.0
33,1,3652,-1,USDCHF,Long,sky_1,-0.328,10.0,9.1667,2021-10-29 16:03:01,0,0.91667,0.91951,0.91524,0.91523,1.98,2021-10-29 18:44:29,-0.01,2:41:28,8.9,-14.39999,0.0,0.0,3652,0.91661,0.9168,0.91646,0.91676,150,2021-10-29 16:00:32,0:02:09,3.3999999999989594,1.4999999999998348,0.0,0.0
34,1,3697,1,USDCHF,Long,sky_1,-0.552,10.0,9.152099999999999,2021-10-29 18:44:44,0,0.91521,0.91711,0.91425,0.91711,1.97,2021-11-01 04:18:27,0.01,56:33:43,19.0,-4.99999,0.0,0.0,3697,0.91544,0.91558,0.9153,0.91547,150,2021-10-29 18:32:48,0:09:14,2.7999999999994696,0.2999999999997449,0.0,0.0
