pos_id,virtual_id,fid,won,pair,dir,signal_key,ssngt,base,quote,time_o,updates,open_price,exit_high_price,exit_low_price,close_price,pl_ratio_s,time_c,profit,duration,touch_high_pip,touch_low_pop,sprd,locked,seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max
1,1,64,1,USDCHF,Long,sky_1,0.0,10.0,9.2379,2021-10-18 02:19:54,0,0.92379,0.92501,0.92317,0.92502,1.96,2021-10-18 04:54:46,0.01,2:34:52,12.29999,-0.79999,0.0,0.0,64,0.92397,0.92403,0.92388,0.92395,150,2021-10-18 02:11:51,0:05:26,1.4999999999998348,0.1999999999990898,0.0,0.0
3,1,139,1,USDCHF,Long,sky_1,0.333,10.0,9.2469,2021-10-18 08:05:48,0,0.92469,0.92592,0.92407,0.92595,1.98,2021-10-18 08:29:44,0.01,0:23:56,12.6,0.0,0.0,0.0,139,0.92545,0.92551,0.92513,0.92519,150,2021-10-18 07:59:50,0:03:03,3.8000000000004697,2.60000000000038,0.0,0.0
4,1,166,1,USDCHF,Long,sky_1,0.555,10.0,9.2583,2021-10-18 09:20:23,0,0.92583,0.92724,0.92512,0.92724,1.98,2021-10-18 10:14:19,0.01,0:53:56,14.09999,-2.1,0.0,0.0,166,0.92595,0.92619,0.92586,0.92594,150,2021-10-18 09:15:04,0:03:01,3.2999999999994145,0.10000000000065512,0.0,0.0
7,1,619,1,USDCHF,Long,sky_1,-0.242,10.0,9.1928,2021-10-19 14:03:06,0,0.91928,0.92048,0.91867,0.92048,1.96,2021-10-19 14:31:49,0.01,0:28:43,11.99999,-0.09999,0.0,0.0,619,0.91927,0.91939,0.91917,0.91935,150,2021-10-19 14:00:06,0:02:02,2.1999999999999797,0.7999999999996898,0.0,0.0
9,1,707,1,USDCHF,Long,sky_1,-0.219,10.0,9.2155,2021-10-19 21:48:31,0,0.92155,0.92293,0.92085,0.92293,1.97,2021-10-19 23:08:01,0.01,1:19:30,13.8,-0.09999,0.0,0.0,707,0.92302,0.92306,0.92286,0.92293,150,2021-10-19 20:50:14,0:33:12,1.9999999999997797,0.8999999999992347,0.0,0.0
16,1,1892,1,USDCHF,Long,sky_1,-0.895,10.0,9.1667,2021-10-25 07:37:27,0,0.91667,0.91883,0.91558,0.91892,1.98,2021-10-25 09:25:13,0.02,1:47:46,22.49999,-7.39999,0.0,0.0,1892,0.91667,0.91682,0.91652,0.91666,150,2021-10-25 07:35:13,0:02:03,2.9999999999996696,0.0999999999995449,0.0,0.0
19,1,2131,1,USDCHF,Long,sky_1,-0.672,10.0,9.1798,2021-10-25 21:19:40,0,0.91798,0.91962,0.91715,0.91962,1.97,2021-10-25 21:35:48,0.01,0:16:08,16.39999,-0.4,0.0,0.0,2131,0.91987,0.91995,0.91972,0.91975,150,2021-10-25 20:51:36,0:16:07,2.300000000000635,1.2000000000000899,0.0,0.0
32,1,3554,1,USDCHF,Long,sky_1,-0.993,10.0,9.1203,2021-10-29 13:28:18,0,0.91203,0.9135,0.91129,0.91353,1.98,2021-10-29 14:52:35,0.01,1:24:17,14.99999,-7.2,0.0,0.0,3554,0.91255,0.91261,0.91235,0.91247,150,2021-10-29 13:25:42,0:01:53,2.60000000000038,0.7999999999996898,0.0,0.0
34,1,3697,1,USDCHF,Long,sky_1,-0.552,10.0,9.152099999999999,2021-10-29 18:44:44,0,0.91521,0.91711,0.91425,0.91711,1.97,2021-11-01 04:18:27,0.01,56:33:43,19.0,-4.99999,0.0,0.0,3697,0.91544,0.91558,0.9153,0.91547,150,2021-10-29 18:32:48,0:09:14,2.7999999999994696,0.2999999999997449,0.0,0.0
37,1,4208,1,USDCHF,Long,sky_1,-0.571,10.0,9.1198,2021-11-02 10:53:52,0,0.91198,0.91345,0.91124,0.91345,1.98,2021-11-02 12:42:22,0.01,1:48:30,14.69999,-1.1,0.0,0.0,4208,0.91227,0.91239,0.91203,0.91208,150,2021-11-02 10:50:47,0:02:40,3.6000000000002697,1.9000000000002348,0.0,0.0
38,1,4257,1,USDCHF,Long,sky_1,-0.047,10.0,9.1294,2021-11-02 13:08:08,0,0.91294,0.91411,0.91235,0.91411,1.98,2021-11-02 14:15:30,0.01,1:07:22,11.7,-2.49999,0.0,0.0,4257,0.91287,0.91297,0.91287,0.91296,150,2021-11-02 13:05:14,0:02:25,0.9999999999998899,0.900000000000345,0.0,0.0
39,1,4298,1,USDCHF,Long,sky_1,0.301,10.0,9.1336,2021-11-02 14:47:58,0,0.91336,0.91468,0.91269,0.9147,1.97,2021-11-02 15:49:07,0.01,1:01:09,13.4,-1.89999,0.0,0.0,4298,0.91338,0.91346,0.91326,0.91332,150,2021-11-02 14:45:47,0:02:01,2.00000000000089,0.5999999999994898,0.0,0.0
47,1,5076,1,USDCHF,Long,sky_1,-0.91,10.0,9.1333,2021-11-04 15:17:51,0,0.91333,0.91445,0.91276,0.91445,1.96,2021-11-04 15:28:28,0.01,0:10:37,11.2,-1.09999,0.0,0.0,5076,0.91344,0.91358,0.9134,0.91346,150,2021-11-04 15:16:00,0:01:30,1.7999999999995797,0.20000000000020002,0.0,0.0
50,1,5228,1,USDCHF,Long,sky_1,-0.677,10.0,9.1262,2021-11-05 05:11:07,0,0.91262,0.91381,0.91202,0.91381,1.98,2021-11-05 08:01:31,0.01,2:50:24,11.9,-4.19999,0.0,0.0,5228,0.91254,0.91256,0.9124,0.91249,150,2021-11-05 04:57:28,0:05:58,1.60000000000049,0.49999999999994493,0.0,0.0
51,1,5277,1,USDCHF,Long,sky_1,-0.118,10.0,9.1302,2021-11-05 08:45:40,0,0.91302,0.91434,0.91235,0.91435,1.97,2021-11-05 09:09:46,0.01,0:24:06,13.29999,-3.2,0.0,0.0,5277,0.91321,0.91362,0.91321,0.91337,150,2021-11-05 08:42:46,0:02:39,4.100000000000215,1.60000000000049,0.0,0.0
53,1,5347,1,USDCHF,Long,sky_1,-0.163,10.0,9.1552,2021-11-05 12:21:54,0,0.91552,0.91707,0.91474,0.91708,1.98,2021-11-05 12:30:23,0.01,0:08:29,15.6,-2.99999,0.0,0.0,5347,0.91567,0.91577,0.91528,0.91567,150,2021-11-05 12:17:53,0:02:14,4.899999999999904,0.0,0.0,0.0
