pos_id,virtual_id,fid,won,pair,dir,signal_key,ssngt,base,quote,time_o,updates,open_price,exit_high_price,exit_low_price,close_price,pl_ratio_s,time_c,profit,duration,touch_high_pip,touch_low_pop,sprd,locked,seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max
1,1,32,-1,SpotCrude,Long,sky_1,0.0,10.0,833.19,2021-10-18 06:30:24,0,83.319,84.229,82.863,82.863,1.99,2021-10-18 14:26:44,-4.56,7:56:20,49.89999,-45.6,0.0,0.0,32,83.44,83.455,83.385,83.425,300,2021-10-18 06:03:33,0:13:50,699.9999999999318,150.00000000000568,0.0,0.0
2,1,172,-1,SpotCrude,Long,sky_1,-1.0,10.0,829.52,2021-10-19 12:14:46,0,82.952,83.932,82.461,82.458,1.99,2021-10-19 12:53:07,-4.93,0:38:21,6.1,-49.39999,0.0,0.0,172,83.179,83.209,83.033,83.053,300,2021-10-19 11:48:55,0:15:11,1760.0000000000193,1260.0000000000477,0.0,0.0
3,1,178,-1,SpotCrude,Long,sky_1,-1.0,10.0,825.14,2021-10-19 12:53:27,0,82.514,83.268,82.136,82.116,1.99,2021-10-19 13:17:56,-3.97,0:24:29,22.7,-39.79999,0.0,0.0,178,82.801,82.821,82.564,82.6,300,2021-10-19 12:44:59,0:06:51,2570.00000000005,2010.0000000000762,0.0,0.0
4,1,228,-1,SpotCrude,Long,sky_1,-1.0,10.0,829.24,2021-10-19 18:44:14,0,82.924,84.211,82.28,82.268,1.99,2021-10-20 07:00:00,-6.56,12:15:46,27.09999,-65.6,0.0,0.0,228,83.076,83.086,82.819,82.894,300,2021-10-19 18:30:32,0:11:47,2669.999999999959,1819.9999999998795,0.0,0.0
5,1,352,-1,SpotCrude,Long,sky_1,-1.0,10.0,839.5600000000001,2021-10-21 04:17:05,0,83.956,85.052,83.407,83.407,1.99,2021-10-21 08:05:19,-5.49,3:48:14,16.59999,-54.9,0.0,0.0,352,83.991,84.162,83.961,84.112,300,2021-10-21 03:19:33,0:29:32,2010.0000000000762,1209.9999999999511,0.0,0.0
6,1,366,-1,SpotCrude,Long,sky_1,-1.0,10.0,834.22,2021-10-21 08:05:27,0,83.422,84.316,82.974,82.956,1.99,2021-10-21 13:44:49,-4.65,5:39:22,35.69999,-46.59999,0.0,0.0,366,83.618,83.689,83.457,83.538,300,2021-10-21 07:48:03,0:13:28,2319.999999999993,799.999999999983,0.0,0.0
7,1,522,-1,SpotCrude,Long,sky_1,-1.0,10.0,836.31,2021-10-22 14:01:47,0,83.631,84.533,83.179,83.178,1.99,2021-10-22 14:53:40,-4.53,0:51:53,13.1,-45.3,0.0,0.0,522,83.953,84.014,83.737,83.742,300,2021-10-22 13:54:55,0:05:23,2770.00000000001,2109.9999999999854,0.0,0.0
8,1,531,1,SpotCrude,Long,sky_1,-1.0,10.0,832.0799999999999,2021-10-22 14:53:50,0,83.208,83.985,82.819,83.994,1.99,2021-10-22 16:49:45,7.86,1:55:55,78.6,-9.99999,0.0,0.0,531,83.541,83.601,83.259,83.369,300,2021-10-22 14:44:18,0:06:02,3419.9999999999873,1719.9999999999704,0.0,0.0
9,1,591,1,SpotCrude,Long,sky_1,-0.333,10.0,849.78,2021-10-25 06:18:33,0,84.978,85.882,84.525,85.884,1.99,2021-10-25 13:14:09,9.06,6:55:36,90.6,-27.1,0.0,0.0,591,85.054,85.119,85.009,85.094,300,2021-10-25 05:55:18,0:19:39,1099.9999999999943,399.9999999999204,0.0,0.0
10,1,635,-1,SpotCrude,Long,sky_1,0.111,10.0,852.53,2021-10-25 14:41:45,0,85.253,86.231,84.763,84.724,1.99,2021-10-25 15:51:33,-5.28,1:09:48,10.99999,-52.89999,0.0,0.0,635,85.414,85.554,85.383,85.424,300,2021-10-25 14:33:02,0:05:56,1710.0000000000648,100.00000000005116,0.0,0.0
11,1,645,-1,SpotCrude,Long,sky_1,-0.259,10.0,847.1899999999999,2021-10-25 15:51:53,0,84.719,85.73,84.213,84.206,1.99,2021-10-25 16:32:03,-5.12,0:40:10,12.1,-51.29999,0.0,0.0,645,84.966,85.001,84.82,84.926,300,2021-10-25 15:39:11,0:09:58,1810.000000000116,399.9999999999204,0.0,0.0
12,1,762,-1,SpotCrude,Long,sky_1,-0.506,10.0,849.29,2021-10-26 20:30:49,0,84.929,86.023,84.381,84.38,1.99,2021-10-27 01:47:01,-5.49,5:16:12,4.99999,-54.9,0.0,0.0,762,85.082,85.135,84.954,84.974,300,2021-10-26 19:22:54,1:07:25,1810.000000000116,1079.9999999998988,0.0,0.0
13,1,771,-1,SpotCrude,Long,sky_1,-0.67,10.0,844.3600000000001,2021-10-27 01:47:26,0,84.436,85.218,84.044,84.044,1.99,2021-10-27 06:35:18,-3.92,4:47:52,26.09999,-39.2,0.0,0.0,771,84.627,84.667,84.516,84.567,300,2021-10-27 01:28:56,0:13:07,1509.9999999999625,600.0000000000227,0.0,0.0
14,1,991,1,SpotCrude,Long,sky_1,-0.78,10.0,823.73,2021-10-28 15:10:12,0,82.373,83.267,81.925,83.272,1.99,2021-10-28 18:18:35,8.99,3:08:23,89.9,-38.8,0.0,0.0,991,82.694,82.704,82.463,82.538,300,2021-10-28 15:01:37,0:05:07,2409.9999999999964,1560.0000000000591,0.0,0.0
15,1,1031,-1,SpotCrude,Long,sky_1,-0.187,10.0,830.14,2021-10-29 01:08:21,0,83.014,84.34,82.35,82.336,1.99,2021-10-29 12:51:40,-6.77,11:43:19,68.9,-67.79999,0.0,0.0,1031,83.291,83.301,83.079,83.16,300,2021-10-29 00:44:13,0:16:22,2220.000000000084,1310.0000000000023,0.0,0.0
16,1,1153,1,SpotCrude,Long,sky_1,-0.458,10.0,836.88,2021-10-29 20:49:02,0,83.688,84.884,83.089,84.97,1.99,2021-11-01 13:01:01,12.81,63:11:59,128.19999,-58.7,0.0,0.0,1153,83.745,83.798,83.665,83.773,300,2021-10-29 19:53:46,0:27:32,1329.9999999999557,279.9999999999159,0.0,0.0
17,1,1231,-1,SpotCrude,Long,sky_1,0.027,10.0,847.71,2021-11-01 14:43:36,0,84.771,85.728,84.292,84.289,1.99,2021-11-01 17:40:06,-4.81,2:56:30,6.09999,-48.19999,0.0,0.0,1231,84.982,84.992,84.731,84.751,300,2021-11-01 14:37:18,0:05:49,2610.000000000099,2309.9999999999454,0.0,0.0
18,1,1250,-1,SpotCrude,Long,sky_1,-0.314,10.0,843.0899999999999,2021-11-01 17:40:41,0,84.309,85.092,83.917,83.915,1.99,2021-11-02 11:17:19,-3.93,17:36:38,43.99999,-39.39999,0.0,0.0,1250,84.55,84.59,84.405,84.415,300,2021-11-01 17:16:22,0:13:46,1850.0000000000227,1349.999999999909,0.0,0.0
19,1,1608,-1,SpotCrude,Long,sky_1,-0.543,10.0,827.14,2021-11-04 14:02:40,0,82.714,83.941,82.1,82.092,1.99,2021-11-04 14:19:28,-6.21,0:16:48,3.0,-62.19999,0.0,0.0,1608,83.065,83.146,82.965,82.98,300,2021-11-04 13:57:30,0:03:30,1809.9999999999739,849.9999999999375,0.0,0.0
20,1,1613,-1,SpotCrude,Long,sky_1,-0.695,10.0,820.01,2021-11-04 14:19:32,0,82.001,83.372,81.315,81.314,1.99,2021-11-04 14:55:52,-6.87,0:36:20,38.19999,-68.7,0.0,0.0,1613,82.463,82.574,82.313,82.413,300,2021-11-04 14:14:21,0:03:53,2609.999999999957,499.9999999999716,0.0,0.0
21,1,1625,-1,SpotCrude,Long,sky_1,-0.796,10.0,813.0899999999999,2021-11-04 14:55:53,0,81.309,83.225,80.35,80.345,1.99,2021-11-04 15:28:41,-9.63,0:32:48,36.1,-96.39999,0.0,0.0,1625,81.806,81.806,81.459,81.47,300,2021-11-04 14:49:59,0:03:20,3469.999999999942,3359.9999999999854,0.0,0.0
22,1,1797,1,SpotCrude,Long,sky_1,-0.864,10.0,797.1899999999999,2021-11-05 13:55:03,0,79.719,80.405,79.375,80.407,1.99,2021-11-05 14:48:49,6.88,0:53:46,68.8,-17.49999,0.0,0.0,1797,79.875,80.056,79.845,79.915,300,2021-11-05 13:47:10,0:04:32,2109.9999999999854,400.0000000000625,0.0,0.0
23,1,1838,-1,SpotCrude,Long,sky_1,-0.243,10.0,815.01,2021-11-05 17:28:15,0,81.501,83.078,80.712,81.383,1.99,2021-11-05 20:54:56,-1.18,3:26:41,57.19999,-17.8,0.0,0.0,1838,81.41,81.561,81.39,81.551,300,2021-11-05 17:18:18,0:08:49,1710.0000000000648,1410.0000000000534,0.0,0.0
